i-00951bd0b9cdd71a3	172.31.54.211
i-0b97a2435802bb875	172.31.62.146
i-06de51528399bfd2b	172.31.58.50
i-098a688d2061a9c5d	172.31.56.145
i-01b8e44360892242b	172.31.62.1
i-0d18da1c08e1c5b3a	172.31.48.128
i-0e353c21d834dd4d3	172.31.59.152
i-0de72a7522de7b248	172.31.62.61
i-02f66524a73556526	172.31.63.250
